integer_representation	english_name	identifier	english_name_curated
9208	(+) quinic acid -- check RI 5800 diff to (-) quinic acid	AAWZDTNXLSGCEK-ZHQZDSKASA-N	(+) quinic acid
5346	(5E)-isovitamin D3	LMBGVVOJTGHJNP-FVUVGDFOSA-N	(5E)-isovitamin D3
5340	1-aminocyclopropanecarboxylic acid RI diff	PAJPWUMXBYXFCZ-UHFFFAOYSA-N	1-aminocyclopropanecarboxylic acid
12890	1-deoxyerythritol	YAXKTBLXMTYWDQ-UHFFFAOYSA-N	1-deoxyerythritol
911	1-docosanol	NOPFSRXAKWQILS-UHFFFAOYSA-N	1-docosanol
13070	1-hexacosanol	IRHTZOCLLONTOC-UHFFFAOYSA-N	1-hexacosanol
2382	1-hexadecanol	BXWNKGSJHAJOGX-UHFFFAOYSA-N	1-hexadecanol
4072	1-kestose	VAWYEUIPHLMNNF-OESPXIITSA-N	1-kestose
12444	1-lignoceroylglycerol	KIWLCEXSSGNBJU-UHFFFAOYSA-N	1-lignoceroylglycerol
5377	1-methyladenosine minor	GFYLSDSUCHVORB-IOSLPCCCSA-N	1-methyladenosine
14527	1-methylgalactose NIST	HOVAGTYPODGVJG-UHFFFAOYSA-N	1-methylgalactose
202	1-methylhydantoin	RHYBFKMFHLPQPH-UHFFFAOYSA-N	1-methylhydantoin
15129	1-monoolein	RZRNAYUHWVFMIP-KTKRTIGZSA-N	1-monoolein
7322	1-monopalmitin	QHZLMUACJMDIAE-UHFFFAOYSA-N	1-monopalmitin
3923	1-monostearin	VBICKXHEKHSIBG-UHFFFAOYSA-N	1-monostearin
3859	1-octacosanol	CNNRPFQICPFDPO-UHFFFAOYSA-N	1-octacosanol
2358	1-phenylethylamine MassBank	RQEUFEKYXDPUSK-UHFFFAOYSA-N	1-phenylethylamine
11261	1,10-phenantroline MassBank	DGEZNRSVGBDHLK-UHFFFAOYSA-N	1,10-phenantroline
8695	1,2-anhydro-myo-inositol NIST	ZHMWOVGZCINIHW-FTYOSCRSSA-N	1,2-anhydro-myo-inositol
12235	1,2-cyclohexanedione	OILAIQUEIWYQPH-UHFFFAOYSA-N	1,2-cyclohexanedione
11825	1,2-dihydroxycylohexane NIST	PFURGBBHAOXLIO-UHFFFAOYSA-N	1,2-dihydroxycylohexane
10385	1,2,4-benzenetriol	GGNQRNBDZQJCCN-UHFFFAOYSA-N	1,2,4-benzenetriol
7236	1,2,4-trichlorobenzene	PBKONEOXTCPAFI-UHFFFAOYSA-N	1,2,4-trichlorobenzene
5281	1,3-diaminopropane	XFNJVJPLKCPIBV-UHFFFAOYSA-N	1,3-diaminopropane
10458	1,3,5-trimethylcyanuric acid	AHWDQDMGFXRVFB-UHFFFAOYSA-N	1,3,5-trimethylcyanuric acid
5759	1,5-anhydroglucitol	MPCAJMNYNOGXPB-SLPGGIOYSA-N	1,5-anhydroglucitol
9	1,6-diisopropylnaphthalene MassBank no RI	GQHUSRBBMNYHIF-UHFFFAOYSA-N	1,6-diisopropylnaphthalene
5099	10-hydroxy-2E-decenoic acid	QHBZHVUGQROELI-SOFGYWHQSA-N	10-hydroxy-2E-decenoic acid
3028	10-hydroxydecanoic acid	YJCJVMMDTBEITC-UHFFFAOYSA-N	10-hydroxydecanoic acid
10780	2-(1-methyl-2-pyrrolidinyl)-pyridine	AQCRXZYYMOXFAN-UHFFFAOYSA-N	2-(1-methyl-2-pyrrolidinyl)-pyridine
4613	2-(4-hydroxyphenyl)ethanol	YCCILVSKPBXVIP-UHFFFAOYSA-N	2-(4-hydroxyphenyl)ethanol
1225	2-acetonaphtone MassBank w/o RI	XSAYZAUNJMRRIR-UHFFFAOYSA-N	2-acetonaphtone
