species	organ	disease	to_remove
aedes aegypti	Gastrointestinal Tract	No	
aedes aegypti	Tissues	No	
anthophila	Pollen	No	
apis mellifera	Gastrointestinal Tract	No	
apis mellifera	Head	No	
apis mellifera	Hemolymph	No	
apis mellifera	Ileum	No	
apis mellifera	Rectum	No	
arabidopsis	Plant Leaves	No	
arabidopsis	Plant Roots	No	
arabidopsis	Tissues	No	
arabidopsis thaliana	Cotyledon	No	
arabidopsis thaliana	Extracellular Fluid	No	
arabidopsis thaliana	Flowering Tops	No	DELETE
arabidopsis thaliana	Flowers	No	
arabidopsis thaliana	Plant Leaves	No	
arabidopsis thaliana	Plant Roots	No	
arabidopsis thaliana	Plant Shoots	No	
arabidopsis thaliana	Pollen	No	
arabidopsis thaliana	Seeds	No	
arabidopsis thaliana	Tissues	No	
arachis hypogaea	Plant Leaves	No	
aspergillus fumigatus	Cells	No	
aspergillus oryzae	Cells	No	
astyanax mexicanus	Brain	No	
astyanax mexicanus	Liver	No	
astyanax mexicanus	Muscle, Skeletal	No	
atractylodes lancea	Plant Roots	No	
auxenochlorella protothecoides	Cells	No	
bacillus subtilis	Cells	No	
bacillus thuringiensis	Cells	No	
bacteria	Cells	No	DELETE
bacteria	Culture Media	No	DELETE
bacteria	Extracellular Fluid	No	DELETE
beta vulgaris	Plant Leaves	No	
beta vulgaris	Plant Roots	No	
bifidobacterium	Culture Media, Conditioned	No	
boechera stricta	Plant Leaves	No	
bos primigenius	Plasma	No	
bos taurus	Cerebrospinal Fluid	No	
bos taurus	Chromaffin Cells	No	
bos taurus	Culture Media	No	
bos taurus	Feces	No	
bos taurus	Follicular Fluid	No	
bos taurus	Liver	No	
bos taurus	Milk	No	
bos taurus	Muscle, Skeletal	No	
bos taurus	Plasma	No	
bos taurus	Serum	No	
bos taurus	Urine	No	
bos taurus	Uterus	No	
botrytis fuckeliana	Cells	No	
brachypodium	Plant Leaves	No	
brassica	Plant Leaves	No	
brassica	Plant Roots	No	
brassica napus	Plant Roots	No	
brassica napus	Plant Shoots	No	
brassica rapa	Plant Leaves	No	
brettanomyces bruxellensis	Cells	No	
caenorhabditis elegans	Cells	No	
caenorhabditis elegans	Tissues	No	
callosobruchus maculatus	Tissues	No	
camelus	Milk	No	
canis lupus familiaris	Cerebrospinal Fluid	No	
canis lupus familiaris	Feces	No	
canis lupus familiaris	Plasma	No	
canis lupus familiaris	Serum	No	
canis lupus familiaris	Urine	No	
capra aegagrus hircus	Milk	No	
capra aegagrus hircus	Plasma	No	
capra aegagrus hircus	Serum	No	
carabidae	Tissues	No	
caryocar	Seeds	No	
cavia porcellus	Plasma	No	
chelonioidea	Serum	No	
chenopodium quinoa	Plant Leaves	No	
chlamydomonas	Cells	No	
chlamydomonas nivalis	Cells	No	
chlamydomonas reinhardtii	Cells	No	
chlorella minutissima	Cells	No	
chlorella protothecoides	Cells	No	
chlorella sorokiniana	Cells	No	
chlorella vulgaris	Cells	No	
chlorophyta	Cells	No	
chromobacterium	Cells	No	
citrus	Plant Leaves	No	
citrus	Plant Roots	No	
citrus reticulata	Plant Leaves	No	
citrus sinensis	Flowering Tops	No	
citrus sinensis	Fruit	No	
citrus sinensis	Plant Leaves	No	
citrus sinensis	Plant Roots	No	
clostridium	Cells	No	
clostridium perfringens	Cells	No	
coffea	Cells	No	
coffea	Seeds	No	
coffea canephora	Seeds	No	
coffea liberica	Seeds	No	
cryptococcus neoformans	Cells	No	
cucumis melo	Xylem	No	
cucumis sativus	Plant Leaves	No	
cucumis sativus	Plant Roots	No	
