InChIKey	Status	Kingdom	Superclass	Class	Subclass	direct_parent_1	direct_parent_2	direct_parent_3	direct_parent_4	direct_parent_5
JGHZJRVDZXSNKQ-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty acid methyl esters				
AEMOLEFTQBMNLQ-DTEWXJGMSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives	Glucuronic acid derivatives			
AAWZDTNXLSGCEK-LNVDRNJUSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Cyclitols and derivatives	Quinic acids and derivatives		
ZAZKJZBWRNNLDS-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty acid methyl esters				
UCMIRNVEIXFBKS-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Beta amino acids and derivatives			
CGSJXLIKVBJVRY-XTGBIJOFSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids	Cholesterols and derivatives				
KRKNYBCHXYNGOX-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	Tricarboxylic acids and derivatives				
DUUGKQCEGZLZNO-UHFFFAOYSA-M	Completed	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Indole-3-acetic acid derivatives				
AEMRFAOFKBGASW-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Alpha hydroxy acids and derivatives				
UCTWMZQNUQWSLP-VIFPVBQESA-N	Completed	Organic compounds	Benzenoids	Phenols	Benzenediols	Catechols				
KZSHODFDDQCIMT-ZOQUXTDFSA-N	Completed	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside monophosphates				
NGFMICBWJRZIBI-UJPOAAIJSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Phenolic glycosides			
IKMKBKLESWIEFA-UHFFFAOYSA-N	Completed	Organic compounds	Organoheterocyclic compounds	Lactones	Gamma butyrolactones	Gamma butyrolactones				
CDAWCLOXVUBKRW-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines	Aniline and substituted anilines				
JRLGPAXAGHMNOL-LURJTMIESA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	N-acyl-alpha amino acids and derivatives	N-acyl-alpha amino acids	N-acyl-L-alpha-amino acids
BJHIKXHVCXFQLS-ZXEDONINSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides				
AHLPHDHHMVZTML-BYPYZUCNSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids	L-alpha-amino acids	
QCMUGKOFXVYNCF-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Phenol ethers	Anisoles	Anisoles				
ARXKVVRQIIOZGF-UHFFFAOYSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols				
AVXURJPOCDRRFD-UHFFFAOYSA-N	Completed	Inorganic compounds	Homogeneous non-metal compounds	Homogeneous other non-metal compounds		Homogeneous other non-metal compounds				
ZKHOYAKAFALNQD-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty acid methyl esters				
AWUCVROLDVIAJX-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	Glycerophosphates				
PPBRXRYQALVLMV-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Benzene and substituted derivatives	Styrenes	Styrenes				
TZBJGXHYKVUXJN-UHFFFAOYSA-N	Completed	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Isoflav-2-enes	Isoflavones				
JSJWCHRYRHKBBW-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas	Ureas				
GZLZRPNUDBIQBM-UHFFFAOYSA-N	Completed	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones				
AYFVYJQAPQTCCC-GBXIJSLDSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids	L-alpha-amino acids	
BHHGXPLMPWCGHP-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenethylamines	Phenethylamines				
CXMXRPHRNRROMY-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids				
VSLXJOHTVOZTNF-UHFFFAOYSA-N	Completed	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Methylpyridines	Methylpyridines				
HKQYGTCOTHHOMP-UHFFFAOYSA-N	Completed	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	O-methylated isoflavonoids	4'-O-methylated isoflavonoids	4'-O-methylisoflavones			
VVIUBCNYACGLLV-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Sulfinic acids and derivatives	Sulfinic acids	Sulfinic acids				
BKAJNAXTPSGJCU-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives				
OVRNDRQMDRJTHS-ZTVVOAFPSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminosaccharides	Amino sugars	Acylaminosugars		
BPMFZUMJYQTVII-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives			
SRBFZHDQGSBBOR-IOVATXLUSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Pentoses			
XZOYHFBNQHPJRQ-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids				
PYMYPHUHKUWMLA-VPENINKCSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Pentoses			
CDAISMWEOUEBRE-UHFFFAOYSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Cyclohexanols			
CFFZDZCDUFSOFZ-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Phenols	Benzenediols	Catechols				
QRMZSPFSDQBLIX-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Phenols	Methoxyphenols	Methoxyphenols				
CWVRJTMFETXNAD-JUHZACGLSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Cyclitols and derivatives	Quinic acids and derivatives		
CWVRJTMFETXNAD-NXLLHMKUSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Cyclitols and derivatives	Quinic acids and derivatives		
JRHWHSJDIILJAT-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids				
KZNQNBZMBZJQJO-YFKPBYRVSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides			
DCBSHORRWZKAKO-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	Monoacylglycerols	1-monoacylglycerols			
FHQRDEDZJIFJAL-UHFFFAOYSA-N	Completed	Organic compounds	Organoheterocyclic compounds	Oxazinanes	Morpholines	Phenylmorpholines				
FBPFZTCFMRRESA-JGWLITMVSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar alcohols				
DCXYFEDJOCDNAF-REOHCLBHSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Asparagine and derivatives		
VHRGRCVQAFMJIZ-UHFFFAOYSA-N	Completed	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Primary amines	Monoalkylamines			
QEFRNWWLZKMPFJ-YGVKFDHGSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids	L-alpha-amino acids	
UNXHWFMMPAWVPI-QWWZWVQMSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar alcohols				
XFNJVJPLKCPIBV-UHFFFAOYSA-N	Completed	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Primary amines	Monoalkylamines			
PAJPWUMXBYXFCZ-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids		
UKFXDFUAPNAMPJ-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Branched fatty acids				
KDXKERNSBIXSRK-YFKPBYRVSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids	L-alpha-amino acids	
DGADNPLBVRLJGD-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives				
DHMQDGOQFOQNFH-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids		
DJDSLBVSSOQSLW-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acid esters				
FUOOLUPWFVMBKG-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids		
DLRVVLDZNNYCBX-ABXHMFFYSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds			
LEHOTFFKMJEONL-UHFFFAOYSA-N	Completed	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Xanthines				
DLRVVLDZNNYCBX-LIZSDCNHSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds			
YPZMPEPLWKRVLD-PJEQPVAWSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Heptoses			
NBIIXXVUZAFLBC-UHFFFAOYSA-N	Completed	Inorganic compounds	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal phosphates	Non-metal phosphates				
XSQUKJJJFZCRTK-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Organic carbonic acids and derivatives	Ureas	Ureas				
DRTQHJPVMGBUCF-XVFCMESISA-N	Completed	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides		Pyrimidine nucleosides				
QNAYBMKLOCPYGJ-REOHCLBHSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alanine and derivatives		
GYDJEQRTZSCIOI-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids			
GQHUSRBBMNYHIF-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Naphthalenes		Naphthalenes				
DTBNBXWJWCWCIK-UHFFFAOYSA-N	Completed	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Phosphate esters				
DZAUWHJDUNRCTF-UHFFFAOYSA-N	Completed	Organic compounds	Phenylpropanoids and polyketides	Phenylpropanoic acids		Phenylpropanoic acids				
RQFUZUMFPRMVDX-UHFFFAOYSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols				
DZGWFCGJZKJUFP-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenethylamines	Phenethylamines				
TYFQFVWCELRYAO-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids				
ATNNLHXCRAAGJS-QZQOTICOSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Very long-chain fatty acids				
FBPFZTCFMRRESA-UHFFFAOYSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar alcohols				
IYRMWMYZSQPJKC-UHFFFAOYSA-N	Completed	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavones	Flavonols				
OLXZPDWKRNYJJZ-UHFFFAOYSA-N	Completed	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	Purine 2'-deoxyribonucleosides				
JLYXXMFPNIAWKQ-UHFFFAOYSA-N	Completed	Organic compounds	Organohalogen compounds	Alkyl halides	Cyclohexyl halides	Cyclohexyl halides				
FEWJPZIEWOKRBE-JCYAYHJZSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives				
YRCWQPVGYLYSOX-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-2-unsubstituted benzenoids				
FLIACVVOZYBSBS-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty acid methyl esters				
FLKPEMZONWLCSK-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzoic acid esters				
JTEJPPKMYBDEMY-UHFFFAOYSA-N	Completed	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	Tryptamines and derivatives				
BGEBZHIAGXMEMV-UHFFFAOYSA-N	Completed	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	Linear furanocoumarins	Psoralens	5-methoxypsoralens		
SLXKOJJOQWFEFD-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids				
FVMDYYGIDFPZAX-UHFFFAOYSA-N	Completed	Organic compounds	Benzenoids	Phenols	1-hydroxy-4-unsubstituted benzenoids	1-hydroxy-4-unsubstituted benzenoids				
FYCWLJLGIAUCCL-DMTCNVIQSA-N	Completed	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives	Alpha amino acids	L-alpha-amino acids	
FYGDTMLNYKFZSV-DZOUCCHMSA-N	Completed	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides				
OGBUMNBNEWYMNJ-UHFFFAOYSA-N	Completed	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	Monoalkylglycerols				
